[00:15:32.3449740][INFO/main.cpp:159] Yim's Menu Initializing
[00:15:32.6437409][INFO/batch.hpp:106] Found 'RS' GTA5.exe+0xD17805
[00:15:32.6466331][INFO/batch.hpp:106] Found 'MFO' GTA5.exe+0xA78A2B
[00:15:32.6469884][INFO/batch.hpp:106] Found 'DPI' GTA5.exe+0x14022B0
[00:15:32.6476613][INFO/batch.hpp:106] Found 'SAACF' GTA5.exe+0xA94380
[00:15:32.6500787][INFO/batch.hpp:106] Found 'SJD' GTA5.exe+0xA93F24
[00:15:32.6538039][INFO/batch.hpp:106] Found 'QD' GTA5.exe+0x130AF04
[00:15:32.6580551][INFO/batch.hpp:106] Found 'DSI' GTA5.exe+0x14740FC
[00:15:32.6599074][INFO/batch.hpp:106] Found 'BNA' GTA5.exe+0x16E760C
[00:15:32.6605759][INFO/batch.hpp:106] Found 'NT' GTA5.exe+0xCDCC0E
[00:15:32.6612284][INFO/batch.hpp:106] Found 'PMFS' GTA5.exe+0x145FFA4
[00:15:32.6646932][INFO/batch.hpp:106] Found 'CTP' GTA5.exe+0x141136C
[00:15:32.6647394][INFO/batch.hpp:106] Found 'SP' GTA5.exe+0x141F260
[00:15:32.6689631][INFO/batch.hpp:106] Found 'GEAT' GTA5.exe+0xA92E00
[00:15:32.6695766][INFO/batch.hpp:106] Found 'SCI' GTA5.exe+0x144E77B
[00:15:32.6740966][INFO/batch.hpp:106] Found 'ICF' GTA5.exe+0xAAFB6B
[00:15:32.6744357][INFO/batch.hpp:106] Found 'RAU' GTA5.exe+0x16D84CC
[00:15:32.6759229][INFO/batch.hpp:106] Found 'ESI' GTA5.exe+0x1184CBA
[00:15:32.6761622][INFO/batch.hpp:106] Found 'RPI' GTA5.exe+0x6B8204
[00:15:32.6773106][INFO/batch.hpp:106] Found 'HSR' GTA5.exe+0x1425B18
[00:15:32.6780893][INFO/batch.hpp:106] Found 'FPC2' GTA5.exe+0x14A6937
[00:15:32.6796687][INFO/batch.hpp:106] Found 'SS' GTA5.exe+0x1077518
[00:15:32.6798279][INFO/batch.hpp:106] Found 'SPCS' GTA5.exe+0x113AAB8
[00:15:32.6814981][INFO/batch.hpp:106] Found 'CPTN' GTA5.exe+0xD672F0
[00:15:32.6858044][INFO/batch.hpp:106] Found 'WPADN' GTA5.exe+0x1183728
[00:15:32.6864868][INFO/batch.hpp:106] Found 'WPCDN' GTA5.exe+0x1176910
[00:15:32.6899943][INFO/batch.hpp:106] Found 'WPCDN' GTA5.exe+0x1183BEC
[00:15:32.6900485][INFO/batch.hpp:106] Found 'TPO' GTA5.exe+0xBC6C8E
[00:15:32.6939071][INFO/batch.hpp:106] Found 'GVOV' GTA5.exe+0x2E7BEC
[00:15:32.6947165][INFO/batch.hpp:106] Found 'WVPMDN' GTA5.exe+0x118A2F4
[00:15:32.6959120][INFO/batch.hpp:106] Found 'PRP' GTA5.exe+0x118F2F
[00:15:32.6980284][INFO/batch.hpp:106] Found 'PEP' GTA5.exe+0x9BBE87
[00:15:32.6987299][INFO/batch.hpp:106] Found 'EAD' GTA5.exe+0x1205924
[00:15:32.7009717][INFO/batch.hpp:106] Found 'VEP' GTA5.exe+0xD6A141
[00:15:32.7014205][INFO/batch.hpp:106] Found 'AWIV' GTA5.exe+0xF134B3
[00:15:32.7021329][INFO/batch.hpp:106] Found 'HCM' GTA5.exe+0x2D5FF8
[00:15:32.7051253][INFO/batch.hpp:106] Found 'L&UL' GTA5.exe+0x1A43D0
[00:15:32.7051837][INFO/batch.hpp:106] Found 'TJC' GTA5.exe+0xB022D8
[00:15:32.7124646][INFO/batch.hpp:106] Found 'GHAHBI' GTA5.exe+0x1626510
[00:15:32.7156289][INFO/batch.hpp:106] Found 'FPCR' GTA5.exe+0x11564C7
[00:15:32.7175212][INFO/batch.hpp:106] Found 'RAI' GTA5.exe+0x1288BFA
[00:15:32.7193705][INFO/batch.hpp:106] Found 'TFC' GTA5.exe+0xC22919
[00:15:32.7220199][INFO/batch.hpp:106] Found 'MO' GTA5.exe+0x114F398
[00:15:32.7232653][INFO/batch.hpp:106] Found 'SNT' GTA5.exe+0x1429FED
[00:15:32.7235457][INFO/batch.hpp:106] Found 'RP' GTA5.exe+0x516668
[00:15:32.7245584][INFO/batch.hpp:106] Found 'RE' GTA5.exe+0x508CE8
[00:15:32.7249100][INFO/batch.hpp:106] Found 'RE' GTA5.exe+0x511FDC
[00:15:32.7269098][INFO/batch.hpp:106] Found 'DSCC' GTA5.exe+0x1206A4D
[00:15:32.7270699][INFO/batch.hpp:106] Found 'RR' GTA5.exe+0x1EB08
[00:15:32.7296211][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x132C898
[00:15:32.7336537][INFO/batch.hpp:106] Found 'RBS' GTA5.exe+0x11C037C
[00:15:32.7352184][INFO/batch.hpp:106] Found 'DHM' GTA5.exe+0x801F47
[00:15:32.7379075][INFO/batch.hpp:106] Found 'AMR&CMTFM' GTA5.exe+0x13F4480
[00:15:32.7403350][INFO/batch.hpp:106] Found 'IPP' GTA5.exe+0x925D66
[00:15:32.7477277][INFO/batch.hpp:106] Found 'TCA' GTA5.exe+0xF6411E
[00:15:32.7478361][INFO/batch.hpp:106] Found 'SNPPD' GTA5.exe+0x16DC022
[00:15:32.7523563][INFO/batch.hpp:106] Found 'NEM&CEQ&NEP&GNPI&QNE' GTA5.exe+0x115071F
[00:15:32.7528621][INFO/batch.hpp:106] Found 'RMFQ&RMFUR' GTA5.exe+0x141C12A
[00:15:32.7559162][INFO/batch.hpp:106] Found 'DO' GTA5.exe+0x754298
[00:15:32.7575901][INFO/batch.hpp:106] Found 'DP' GTA5.exe+0xCFDBAC
[00:15:32.7576442][INFO/batch.hpp:106] Found 'ASA' GTA5.exe+0x114E5A0
[00:15:32.7577078][INFO/batch.hpp:106] Found 'PD' GTA5.exe+0x144E5A9
[00:15:32.7642734][INFO/batch.hpp:106] Found 'CDBE' GTA5.exe+0x1138C3C
[00:15:32.7647719][INFO/batch.hpp:106] Found 'MWL' GTA5.exe+0x5DF7A3
[00:15:32.7655819][INFO/batch.hpp:106] Found 'DV' GTA5.exe+0xD95BB8
[00:15:32.7661509][INFO/batch.hpp:106] Found 'CW' GTA5.exe+0x166DD7
[00:15:32.7679340][INFO/batch.hpp:106] Found 'BE' GTA5.exe+0xA7590F
[00:15:32.7697448][INFO/batch.hpp:106] Found 'SWL' GTA5.exe+0x114E618
[00:15:32.7721502][INFO/batch.hpp:106] Found 'EP' GTA5.exe+0xA75A0F
[00:15:32.7759140][INFO/batch.hpp:106] Found 'NHM' GTA5.exe+0x10C41F9
[00:15:32.7783325][INFO/batch.hpp:106] Found 'BP' GTA5.exe+0x16E7813
[00:15:32.7818653][INFO/batch.hpp:106] Found 'IMSV' GTA5.exe+0x110A474
[00:15:32.7842496][INFO/batch.hpp:106] Found 'DC' GTA5.exe+0x14B663B
[00:15:32.7893525][INFO/batch.hpp:106] Found 'SOD' GTA5.exe+0x12B03A1
[00:15:32.8043709][INFO/batch.hpp:106] Found 'CTSHP' GTA5.exe+0xA4969E
[00:15:32.8082359][INFO/batch.hpp:106] Found 'FRC' GTA5.exe+0x14047F3
[00:15:32.8091281][INFO/batch.hpp:106] Found 'DT' GTA5.exe+0x13E4
[00:15:32.8123562][INFO/batch.hpp:106] Found 'WMSB' GTA5.exe+0xCFECD3
[00:15:32.8174389][INFO/batch.hpp:106] Found 'BLPLST' GTA5.exe+0x2C7580
[00:15:32.8179263][INFO/batch.hpp:106] Found 'GTCE0MB' GTA5.exe+0x1326700
[00:15:32.8229611][INFO/batch.hpp:106] Found 'SVM1' GTA5.exe+0x161F9BB
[00:15:32.8239030][INFO/batch.hpp:106] Found 'FEE' GTA5.exe+0x16C5989
[00:15:32.8240786][INFO/batch.hpp:106] Found 'SVM3&4' GTA5.exe+0x161F982
[00:15:32.8272077][INFO/batch.hpp:106] Found 'VEHMMGR' GTA5.exe+0xFD4981
[00:15:32.8279495][INFO/batch.hpp:106] Found 'GS' GTA5.exe+0x27B56
[00:15:32.8283011][INFO/batch.hpp:106] Found 'SVM2' GTA5.exe+0x161FB16
[00:15:32.8291493][INFO/batch.hpp:106] Found 'NS' GTA5.exe+0x8A555
[00:15:32.8292320][INFO/batch.hpp:106] Found 'E0MB' GTA5.exe+0x1321736
[00:15:32.8317006][INFO/batch.hpp:106] Found 'ASAP' GTA5.exe+0x114A110
[00:15:32.8366424][INFO/batch.hpp:106] Found 'SVM5&6' GTA5.exe+0x161FAC9
[00:15:32.8403877][INFO/batch.hpp:106] Found 'TCYCL' GTA5.exe+0xE54FFC
[00:15:32.8405399][INFO/batch.hpp:106] Found 'GPS' GTA5.exe+0x83BF39
[00:15:32.8491232][INFO/batch.hpp:106] Found 'CT' GTA5.exe+0x1309060
[00:15:32.8728151][INFO/batch.hpp:106] Found 'ISCOA' GTA5.exe+0x13BCE16
[00:15:32.8941012][INFO/batch.hpp:106] Found 'DCLMGR' GTA5.exe+0xE2650C
[00:15:32.8941576][INFO/pointers.hpp:79] Pointers cache: saved 215 fields to the cache
[00:15:32.8950438][DEBUG/module.cpp:50] Waiting for socialclub.dll...
[00:15:32.9104937][INFO/batch.hpp:106] Found 'PD' GTA5.exe+0x147C9A
[00:15:32.9130899][INFO/batch.hpp:106] Found 'SGPA' GTA5.exe+0x1D3BF8
[00:15:32.9134528][INFO/batch.hpp:106] Found 'RAP' GTA5.exe+0x1EAB1C
[00:15:32.9134921][INFO/pointers.hpp:79] Pointers cache: saved 5 fields to the cache
[00:15:32.9142109][INFO/main.cpp:186] Pointers initialized.
[00:15:32.9142960][INFO/main.cpp:193] Disabled anticheat gameskeleton.
[00:15:32.9146946][INFO/main.cpp:196] Byte Patch Manager initialized.
[00:15:33.6591821][INFO/main.cpp:199] Renderer initialized.
[00:15:33.9912994][INFO/main.cpp:203] Fiber pool initialized.
[00:15:33.9928953][INFO/main.cpp:206] HTTP Client initialized.
[00:15:34.2743281][WARN/translation_service.cpp:248] Failed to load local index. [json.exception.parse_error.101] parse error at line 11, column 1: syntax error while parsing object key - invalid literal; last read: '"en_US",<U+000D><U+000A><'; expected string literal
[00:15:34.2743477][INFO/translation_service.cpp:58] Downloading translations...
[00:15:34.2914906][WARN/translation_service.cpp:179] Failed to parse language pack. [json.exception.parse_error.101] parse error at line 115, column 1: syntax error while parsing object key - invalid literal; last read: '"Wait Terminate Singleplayer",<U+000D><U+000A><'; expected string literal
[00:15:34.2925161][INFO/main.cpp:209] Translation Service initialized.
[00:15:34.3288910][INFO/main.cpp:212] Hooking initialized.
[00:15:34.3904036][DEBUG/thread_pool.cpp:96] Thread 2796 executing player_database_service.cpp:285
[00:15:34.3914189][INFO/main.cpp:233] Registered service instances...
[00:15:34.3917205][INFO/main.cpp:254] Scripts registered.
[00:15:34.4990990][INFO/main.cpp:257] Hooking enabled.
[00:15:34.5019777][INFO/main.cpp:260] Dynamic native hooker initialized.
[00:15:34.5029884][INFO/main.cpp:264] Lua manager initialized.
[00:15:34.5061861][INFO/translation_service.cpp:163] Translations for 'en_US' does not exist, downloading from https://raw.githubusercontent.com/YimMenu/Translations/master
[00:15:34.8705834][INFO/backend.cpp:53] Starting script: Self
[00:15:34.8706197][INFO/backend.cpp:78] Starting script: Weapons
[00:15:34.8709126][INFO/backend.cpp:101] Starting script: Vehicles
[00:15:34.8709541][INFO/backend.cpp:117] Starting script: Miscellaneous
[00:15:34.8712827][INFO/backend.cpp:138] Starting script: Remote
[00:15:34.8712974][INFO/backend.cpp:153] Starting script: Ls customs
[00:15:34.8713070][INFO/backend.cpp:165] Starting script: Rainbow paint
[00:15:34.8713104][INFO/backend.cpp:177] Starting script: Disable Control Action
[00:15:34.8713149][INFO/backend.cpp:190] Starting script: World
[00:15:35.1455166][INFO/tunables_service.cpp:85] Saving 35169 tunables to cache
[00:15:35.1678934][INFO/tunables_service.cpp:36] Loading tunables from cache
[00:15:46.9120577][INFO/gta_data_service.cpp:265] Rebuilding cache started...
[00:15:46.9121677][DEBUG/yim_fipackfile.cpp:125] GTA install directory: D:\GTA V\Grand Theft Auto V
